,Serienummer,SID,Tijdstip van indienen,Verwerkingstijd,Tijdstip van wijziging,Concept,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
56,57,82,05/01/2021 - 16:26,05/01/2021 - 16:26,05/01/2021 - 16:26,0,1930,17, Meisje, 5e middelbaar,6, Goed, Gemiddeld, Ja, Ja, Ja
57,58,83,05/02/2021 - 12:09,05/02/2021 - 12:09,05/02/2021 - 12:09,0,1931, Ouder dan 18, Meisje, Anders,5, Goed, Heel goed, Ja, Nee, Ja
58,59,84,05/02/2021 - 14:38,05/02/2021 - 14:38,05/02/2021 - 14:38,0,1932,15, Meisje, 4e middelbaar,5, Gemiddeld, Gemiddeld, Nee, Ja, Ja
59,60,86,05/03/2021 - 10:25,05/03/2021 - 10:25,05/03/2021 - 10:25,0,1933, Ouder dan 18, Meisje, Anders, Meer dan 8, Heel goed, Goed, Ja, Ja, Ja
60,61,87,05/03/2021 - 10:30,05/03/2021 - 10:30,05/03/2021 - 10:30,0,1934,17, Jongen, Anders,8, Goed, Heel goed, Nee, Ja, Ja
61,62,88,05/03/2021 - 10:51,05/03/2021 - 10:51,05/03/2021 - 10:51,0,1842,16, Jongen, 5e middelbaar,6, Goed, Heel goed, Ja, Ja, Ja
62,63,94,05/04/2021 - 13:49,05/04/2021 - 13:49,05/04/2021 - 13:49,0,1937,18, Meisje, 6e middelbaar,8, Goed, Zwak, Nee, Ja, Ja
63,64,95,05/04/2021 - 14:21,05/04/2021 - 14:21,05/04/2021 - 14:21,0,1939,15, Jongen, 4e middelbaar,3, Gemiddeld, Goed, Nee, Ja, Ja
64,65,96,05/04/2021 - 14:46,05/04/2021 - 14:46,05/04/2021 - 14:46,0,1941,17, Jongen, 6e middelbaar,6, Gemiddeld, Goed, Ja, Nee, Ja
65,66,97,05/04/2021 - 14:46,05/04/2021 - 14:46,05/04/2021 - 14:46,0,1938,17, Jongen, 6e middelbaar,8, Heel goed, Gemiddeld, Nee, Ja, Ja
66,67,98,05/04/2021 - 14:49,05/04/2021 - 14:49,05/04/2021 - 14:49,0,1943,17, Meisje, 6e middelbaar,8, Gemiddeld, Gemiddeld, Nee, Ja, Ja
67,68,99,05/04/2021 - 14:52,05/04/2021 - 14:52,05/04/2021 - 14:52,0,1944,17, Meisje, 6e middelbaar,6, Heel goed, Zwak, Nee, Ja, Ja
68,69,106,05/04/2021 - 17:18,05/04/2021 - 17:18,05/04/2021 - 17:18,0,1945,16, Jongen, 4e middelbaar,3, Heel goed, Heel goed, Ja, Ja, Ja
69,70,108,05/07/2021 - 19:20,05/07/2021 - 19:20,05/07/2021 - 19:20,0,1947,13, Jongen, 3e middelbaar,4, Goed, Goed, Ja, Ja, Ja
70,71,110,05/08/2021 - 11:31,05/08/2021 - 11:31,05/08/2021 - 11:31,0,1948,18, Jongen, 6e middelbaar,8, Goed, Goed, Nee, Ja, Ja
71,72,112,05/08/2021 - 13:35,05/08/2021 - 13:35,05/08/2021 - 13:35,0,1949,17, Meisje, 5e middelbaar,8, Goed, Gemiddeld, Ja, Nee, Ja
72,73,115,05/08/2021 - 19:59,05/08/2021 - 19:59,05/08/2021 - 19:59,0,1950,16, Meisje, 4e middelbaar,4, Gemiddeld, Gemiddeld, Ja, Ja, Ja
73,74,116,05/08/2021 - 19:59,05/08/2021 - 19:59,05/08/2021 - 19:59,0,1950,16, Meisje, 4e middelbaar,4, Gemiddeld, Gemiddeld, Ja, Ja, Ja
74,75,118,05/09/2021 - 21:51,05/09/2021 - 21:51,05/09/2021 - 21:51,0,1953,16, Meisje, 3e middelbaar,5, Heel zwak, Goed, Nee, Nee, Ja
75,76,119,05/09/2021 - 22:30,05/09/2021 - 22:30,05/09/2021 - 22:30,0,1954,14, Jongen, 3e middelbaar,4, Zwak, Gemiddeld, Ja, Nee, Ja
76,77,120,05/10/2021 - 09:52,05/10/2021 - 09:52,05/10/2021 - 09:52,0,1955,16, Meisje, 4e middelbaar,4, Goed, Goed, Nee, Nee, Ja
77,78,121,05/10/2021 - 10:27,05/10/2021 - 10:27,05/10/2021 - 10:27,0,1956,16, Meisje, 3e middelbaar,4, Gemiddeld, Goed, Nee, Nee, Ja
78,79,123,05/10/2021 - 10:55,05/10/2021 - 10:55,05/10/2021 - 10:55,0,1957,16, Meisje, 3e middelbaar,5, Zwak, Goed, Ja, Ja, Ja
79,80,124,05/10/2021 - 15:21,05/10/2021 - 15:21,05/10/2021 - 15:21,0,1958,15, Meisje, 3e middelbaar,4, Gemiddeld, Gemiddeld, Ja, Ja, Ja
80,81,127,05/10/2021 - 20:35,05/10/2021 - 20:35,05/10/2021 - 20:35,0,1959,15, Meisje, 4e middelbaar,4, Goed, Goed, Ja, Ja, Ja
81,82,128,05/11/2021 - 19:44,05/11/2021 - 19:44,05/11/2021 - 19:44,0,1962,15, Meisje, 4e middelbaar,4, Gemiddeld, Goed, Ja, Ja, Ja
82,83,130,05/12/2021 - 21:39,05/12/2021 - 21:39,05/12/2021 - 21:39,0,1965,15, Jongen, 3e middelbaar,4, Heel goed, Goed, Ja, Ja, Ja
83,84,131,05/14/2021 - 08:52,05/14/2021 - 08:52,05/14/2021 - 08:52,0,1966,17, Meisje, 5e middelbaar,6, Gemiddeld, Gemiddeld, Ja, Ja, Ja
84,85,132,05/14/2021 - 15:26,05/14/2021 - 15:26,05/14/2021 - 15:26,0,1967,17, Meisje, 5e middelbaar,3, Gemiddeld, Goed, Ja, Ja, Ja
85,86,133,05/14/2021 - 15:26,05/14/2021 - 15:26,05/14/2021 - 15:26,0,1967,17, Meisje, 5e middelbaar,3, Gemiddeld, Goed, Ja, Ja, Ja
86,87,134,05/14/2021 - 15:28,05/14/2021 - 15:28,05/14/2021 - 15:28,0,1968,16, Meisje, 5e middelbaar,6, Gemiddeld, Gemiddeld, Ja, Ja, Ja
87,88,137,05/15/2021 - 11:32,05/15/2021 - 11:32,05/15/2021 - 11:32,0,1969,15, Meisje, 5e middelbaar,7, Gemiddeld, Goed, Ja, Ja, Ja
88,89,138,05/15/2021 - 11:32,05/15/2021 - 11:32,05/15/2021 - 11:32,0,1969,15, Meisje, 5e middelbaar,7, Gemiddeld, Goed, Ja, Ja, Ja
89,90,140,05/15/2021 - 19:13,05/15/2021 - 19:13,05/15/2021 - 19:13,0,1970,18, Jongen, 6e middelbaar,2, Gemiddeld, Goed, Nee, Ja, Ja
90,91,142,05/15/2021 - 20:17,05/15/2021 - 20:17,05/15/2021 - 20:17,0,1971,18, Jongen, 6e middelbaar,2, Goed, Goed, Nee, Ja, Ja
91,92,146,05/15/2021 - 20:43,05/15/2021 - 20:43,05/15/2021 - 20:43,0,1972,17, Meisje, 6e middelbaar,6, Gemiddeld, Goed, Ja, Ja, Ja
92,93,148,05/16/2021 - 15:27,05/16/2021 - 15:27,05/16/2021 - 15:27,0,1973,16, Jongen, 5e middelbaar,7, Heel goed, Goed, Ja, Ja, Ja
93,94,150,05/16/2021 - 20:47,05/16/2021 - 20:47,05/16/2021 - 20:47,0,1974,17, Meisje, 6e middelbaar,8, Goed, Zwak, Ja, Ja, Ja
94,95,151,05/17/2021 - 11:32,05/17/2021 - 11:32,05/17/2021 - 11:32,0,1975,18, Meisje, Anders, Minder dan 2, Zwak, Goed, Ja, Ja, Ja
95,96,152,05/17/2021 - 18:35,05/17/2021 - 18:35,05/17/2021 - 18:35,0,1976,17, Meisje, 6e middelbaar,6, Heel goed, Goed, Nee, Ja, Ja
96,97,154,05/17/2021 - 21:05,05/17/2021 - 21:05,05/17/2021 - 21:05,0,1977,16, Meisje, 5e middelbaar,4, Gemiddeld, Gemiddeld, Ja, Ja, Ja
