"id","uid","quiz_result_id","quiz_result_answer_id","element","timestamp","attempts"
"485","1887","1231","1329","Button: First Recommended","1619630590150","3"
"486","1887","1232","1330","Button: First Recommended","1619630703137","2"
"487","1887","1233","1331","Button: First Recommended","1619631028084","3"
"488","1887","1234","1332","Button: First Recommended","1619631057628","4"
"489","1887","1235","1333","Button: First Recommended","1619631145445","2"
"490","1910","1214","1312","Button: Oefeningenoverzicht","1619631191560","1"
"491","1887","1236","1334","Button: First Recommended","1619631191264","1"
"492","1887","1237","1335","Button: First Recommended","1619631206449","1"
"493","1887","1239","1337","Button: First Recommended","1619631223106","1"
"494","1887","1240","1338","Button: First Recommended","1619631281486","1"
"495","1887","1241","1339","Button: First Recommended","1619631292830","1"
"496","1887","1242","1340","Button: First Recommended","1619631594344","2"
"497","1887","1243","1341","Button: First Recommended","1619631611696","2"
"498","1887","1244","1342","Button: First Recommended","1619631639389","5"
"499","1887","1245","1343","Button: First Recommended","1619631659762","3"
"500","1887","1246","1344","Button: First Recommended","1619631673012","1"
"501","1887","1247","1345","Button: First Recommended","1619631961832","1"
"502","1887","1248","1346","Button: First Recommended","1619631986287","4"
"503","1887","1249","1347","Button: First Recommended","1619632002637","2"
"504","1910","1251","1349","Button: Oefeningenoverzicht","1619633944873","1"
"505","1910","1252","1350","Button: Oefeningenoverzicht","1619634169792","1"
"506","1910","1253","1351","Button: Oefeningenoverzicht","1619634655386","1"
"507","1887","1250","1348","Button: First Recommended","1619635335798","4"
"508","1887","1256","1354","Button: First Recommended","1619635634349","1"
"509","1887","1257","1355","Button: First Recommended","1619635653884","4"
"510","1887","1258","1356","Button: Onderwerpenoverzicht","1619635687405","7"
"511","1910","1255","1353","Button: Oefeningenoverzicht","1619635929506","1"
"512","1910","1259","1357","Button: Oefeningenoverzicht","1619636010043","1"
"513","1910","1260","1358","Button: Oefeningenoverzicht","1619636687120","1"
"514","1910","1261","1359","Button: Oefeningenoverzicht","1619636749530","1"
"515","1910","1262","1360","Button: Oefeningenoverzicht","1619637070129","1"
"516","1910","1263","1361","Button: First Recommended","1619637132909","2"
"517","1910","1264","1362","Button: Oefeningenoverzicht","1619637186712","1"
"518","1910","1265","1363","Button: Oefeningenoverzicht","1619637239520","4"
"519","1910","1266","1364","Button: First Recommended","1619637585867","1"
"520","1910","1267","1365","Button: First Recommended","1619637679380","4"
"521","1893","1200","1298","Button: Onderwerpenoverzicht","1619638165340","2"
"522","1893","1142","1240","Button: Onderwerpenoverzicht","1619638453491","1"
"523","1915","1272","1370","Button: First Recommended","1619641819458","6"
"524","1914","1271","1369","Button: First Recommended","1619642187428","1"
"525","1914","1274","1372","Button: First Recommended","1619642408394","1"
"526","1914","1275","1373","Button: First Recommended","1619642478315","1"
"527","1914","1276","1374","Button: First Recommended","1619642530171","1"
"528","1914","1277","1375","Button: First Recommended","1619642933830","1"
"529","1921","1280","1378","Button: First Recommended","1619732718014","1"
"530","1921","1281","1379","Button: Third Recommended","1619732850220","1"
"531","1921","1282","1380","Button: Third Recommended","1619733006462","1"
"532","1921","1283","1381","Button: Oefeningenoverzicht","1619733078226","12"
"533","1","1286","1384","Button: Onderwerpenoverzicht","1619776765277","1"
"534","1","1287","1385","Button: Oefeningenoverzicht","1619877505776","1"
"535","1930","1288","1386","Button: First Recommended","1619879338620","3"
"536","1","1290","1388","Button: Oefeningenoverzicht","1619908142391","2"
"537","1932","1296","1394","Button: First Recommended","1619959737846","1"
"538","1932","1297","1395","Button: First Recommended","1619959807797","1"
"539","1932","1298","1396","Button: First Recommended","1619959939579","2"
"540","1932","1299","1397","Button: First Recommended","1619960060057","2"
"541","1932","1300","1398","Button: First Recommended","1619960487809","1"
"542","1934","1303","1401","Button: First Recommended","1620030813054","1"
"543","1934","1304","1402","Button: First Recommended","1620031088028","4"
"544","1934","1305","1403","Button: First Recommended","1620031111948","2"
"545","1934","1306","1404","Button: Oefeningenoverzicht","1620031183890","1"
"546","1934","1307","1405","Button: Oefeningenoverzicht","1620031434250","1"
